iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,policy_loss,value_loss,action_entropy
46,ppo_lognormal,ppo,lognormal,8,-102.81019961789127,8.76052427218247,102.81019961789127,6.7621846199035645,8.046453475952148,1.493767261505127,1.9219356775283813,1.7763568394002505e-15,-102.46639228436537,102.46639228436537,1.1102230246251565e-15,,,0.0,-0.00020126633379342302,28.259998843783425,2.4520897467931113
47,ppo_lognormal,ppo,lognormal,8,-105.30397302276606,7.808241030883376,105.30397302276606,6.563159465789795,7.121389389038086,1.493767261505127,1.9219356775283813,1.3322676295501878e-15,-103.947130251342,103.947130251342,1.1102230246251565e-15,,,0.0,0.00010584913460271699,29.92391232081822,2.4483155679135096
48,ppo_lognormal,ppo,lognormal,8,-105.27852489799693,11.042344500911506,105.27852489799693,5.777518272399902,9.553465843200684,1.493767261505127,1.9219356775283813,1.3322676295501878e-15,-104.05702214709301,104.05702214709301,8.881784197001252e-16,,,0.0,0.0006609549579609718,29.85460838817415,2.443108939698764
49,ppo_lognormal,ppo,lognormal,8,-107.07147199225594,8.095888336071459,107.07147199225594,6.841059684753418,10.106022834777832,1.493767261505127,1.9219356775283813,2.220446049250313e-15,-104.38723097336181,104.38723097336181,1.3322676295501878e-15,,,0.0,0.0012013891523349144,30.51309431734539,2.4383596990789687
50,ppo_lognormal,ppo,lognormal,8,-102.25409414390502,6.565605779461841,102.25409414390502,7.107110023498535,7.22282075881958,1.493767261505127,1.9219356775283813,1.3322676295501878e-15,-103.85456318449617,103.85456318449617,8.881784197001252e-16,,,0.0,-0.00019226979652774476,26.848322402863275,2.4322020021222888
51,ppo_lognormal,ppo,lognormal,8,-100.48475453003917,9.943248430415387,100.48475453003917,6.5401458740234375,6.982591152191162,1.4966254234313965,1.9182615280151367,3.1086244689504383e-15,-105.54038919401336,105.54038919401336,8.881784197001252e-16,-0.9965881705284119,7.726531982421875,0.0,0.000545066365573023,25.762679741496132,2.429222497202101
52,ppo_lognormal,ppo,lognormal,8,-106.96227476733101,11.385619280360592,106.96227476733101,7.059098243713379,9.065214157104492,1.4971733093261719,1.9177091121673584,1.3322676295501878e-15,-105.7447058111695,105.7447058111695,1.3322676295501878e-15,-1.0043572187423706,8.466703414916992,0.0,0.0008237106431763442,30.09325072878883,2.4261321524779
53,ppo_lognormal,ppo,lognormal,8,-105.80070274193652,9.543652120449481,105.80070274193652,7.793635368347168,10.234206199645996,1.4976513385772705,1.9172632694244385,2.4424906541753444e-15,-106.03276057795958,106.03276057795958,1.5543122344752192e-15,-0.9368017911911011,8.741703033447266,0.0,0.0002840652790231009,29.136104067166645,2.4242576346510933
54,ppo_lognormal,ppo,lognormal,8,-103.96662751431981,9.005449189428223,103.96662751431981,7.056497097015381,8.827787399291992,1.4987033605575562,1.9171209335327148,2.220446049250313e-15,-103.3484170400257,103.3484170400257,1.1102230246251565e-15,-0.9297070503234863,7.960400581359863,0.0,-0.0002340103452470863,27.478332587650844,2.4205008369116556
55,ppo_lognormal,ppo,lognormal,8,-103.43921491793985,7.64024917039836,103.43921491793985,7.8921098709106445,8.12142562866211,1.5004870891571045,1.9171781539916992,1.3322676295501878e-15,-106.24880439006324,106.24880439006324,8.881784197001252e-16,-0.5544671416282654,8.557632446289062,0.0,0.0002926647263978209,26.947046660241625,2.415383757579894
