iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,actor_loss,critic_loss
53,ddpg_lognormal,ddpg,lognormal,3,-102.07007681337372,8.0877715984347,102.07007681337372,2.8292036056518555,1.424727439880371,0.43083465099334717,0.4073030948638916,8.881784197001252e-16,-108.04093638328101,108.04093638328101,8.881784197001252e-16,-332.09576416015625,3.295187473297119,0.00792,23.02458606979677,3.6421182781092023
54,ddpg_lognormal,ddpg,lognormal,3,-102.58840995808083,7.882630142940472,102.58840995808083,2.284449577331543,1.254593849182129,0.43083077669143677,0.4073556661605835,8.881784197001252e-16,-103.3092735907471,103.3092735907471,1.3322676295501878e-15,-316.418701171875,3.1295270919799805,0.00788,22.786514817249206,3.548148378397205
55,ddpg_lognormal,ddpg,lognormal,3,-102.33218514276184,9.074006091160726,102.33218514276184,2.5818088054656982,2.110793352127075,0.4309263527393341,0.407419353723526,8.881784197001252e-16,-102.82209624095819,102.82209624095819,8.881784197001252e-16,-378.91766357421875,3.700169801712036,0.00784,22.675672604569364,3.5078810811031698
56,ddpg_lognormal,ddpg,lognormal,3,-104.76979324825697,10.439728377987345,104.76979324825697,2.887291431427002,1.9232431650161743,0.43080586194992065,0.4075475335121155,8.881784197001252e-16,-99.16193378345162,99.16193378345162,6.661338147750939e-16,-381.0174560546875,3.604743719100952,0.0078000000000000005,22.912852115219547,3.5283382891267094
57,ddpg_lognormal,ddpg,lognormal,3,-102.22673446742397,8.394555611428338,102.22673446742397,2.425734043121338,2.079665184020996,0.4306369423866272,0.40773117542266846,1.7763568394002505e-15,-100.26918702387745,100.26918702387745,1.7763568394002505e-15,-344.03570556640625,3.336829423904419,0.00776,22.964605284943467,3.5917484779021747
58,ddpg_lognormal,ddpg,lognormal,3,-106.95054130678537,26.945271259737254,106.95054130678537,4.441036701202393,1.8090438842773438,0.4305557906627655,0.4079389274120331,2.220446049250313e-15,-105.79592405612033,105.79592405612033,1.3322676295501878e-15,-462.5909729003906,3.9859836101531982,0.00772,23.403961796845707,3.709287884550923
59,ddpg_lognormal,ddpg,lognormal,3,-103.4761248998372,9.189579531186356,103.4761248998372,4.688793659210205,1.7825489044189453,0.43047669529914856,0.40811678767204285,1.7763568394002505e-15,-103.304824462585,103.304824462585,8.881784197001252e-16,-419.699951171875,3.975095272064209,0.00768,23.394781132539116,3.7711685240113484
60,ddpg_lognormal,ddpg,lognormal,3,-102.67787416264142,10.802204693690003,102.67787416264142,2.901419162750244,1.7952975034713745,0.43026843667030334,0.4083612859249115,8.881784197001252e-16,-102.00384304476744,102.00384304476744,8.881784197001252e-16,-363.1365661621094,3.487335681915283,0.00764,22.86326705983707,3.788528218543867
61,ddpg_lognormal,ddpg,lognormal,3,-103.35592684598345,10.975385701958086,103.35592684598345,3.0052595138549805,2.601607322692871,0.4299990236759186,0.4087095856666565,1.3322676295501878e-15,-99.88289333261964,99.88289333261964,8.881784197001252e-16,-395.46807861328125,3.8005852699279785,0.0076,21.885172455793338,3.76001672459478
62,ddpg_lognormal,ddpg,lognormal,3,-103.73675477626612,8.00935155915055,103.73675477626612,2.713850975036621,1.7785522937774658,0.4295511543750763,0.40904873609542847,2.6645352591003757e-15,-103.45135156714503,103.45135156714503,1.5543122344752192e-15,-349.19989013671875,3.310483694076538,0.00756,20.453254110046792,3.8240124863971556
